This list contains all games supported by FinalBurn Neo.

724 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| armwara	|  	| Armored Warriors (941024 Asia)			| armwar	| 1994	| Capcom	| CPS2		| 					| pwga.03b| src/burn/drv/capcom/d_cps2.cpp|
| armwar	|  	| Armored Warriors (941024 Europe)			| 		| 1994	| Capcom	| CPS2		| 					| pwge.03c| src/burn/drv/capcom/d_cps2.cpp|
| armwaru	|  	| Armored Warriors (941024 USA)				| armwar	| 1994	| Capcom	| CPS2		| 					| pwgu.03b| src/burn/drv/capcom/d_cps2.cpp|
| batcira	|  	| Battle Circuit (970319 Asia)				| batcir	| 1997	| Capcom	| CPS2		| 					| btca.03| src/burn/drv/capcom/d_cps2.cpp|
| batcird	|  	| Battle Circuit (970319 Euro Phoenix Edition)		| batcir	| 1997	| bootleg	| CPS2		| 					| btced.03| src/burn/drv/capcom/d_cps2.cpp|
| batcir	|  	| Battle Circuit (970319 Euro)				| 		| 1997	| Capcom	| CPS2		| 					| btce.03| src/burn/drv/capcom/d_cps2.cpp|
| batcirj	|  	| Battle Circuit (970319 Japan)				| batcir	| 1997	| Capcom	| CPS2		| 					| btcj.03| src/burn/drv/capcom/d_cps2.cpp|
| punisherbz	|  	| Biaofeng Zhanjing (Chinese bootleg)			| punisher	| 2002	| bootleg	| CPS1		| 					| 23.096| src/burn/drv/capcom/d_cps1.cpp|
| dinou		|  	| Cadillacs & Dinosaurs (930201 USA)			| dino		| 1993	| Capcom	| CPS1 / QSound	| 					| cdu_23a.8f| src/burn/drv/capcom/d_cps1.cpp|
| dino		|  	| Cadillacs & Dinosaurs (930201 World)			| 		| 1993	| Capcom	| CPS1 / QSound	| 					| cde_23a.8f| src/burn/drv/capcom/d_cps1.cpp|
| dinoa		|  	| Cadillacs & Dinosaurs (930223 Asia TW)		| dino		| 1993	| Capcom	| CPS1 / QSound	| 					| cdt_23.8f| src/burn/drv/capcom/d_cps1.cpp|
| dinosyn	|  	| Cadillacs and Dinosaurs (28th-Anniversary, Hack)	| dino		| 2021-03-25| Hack		| CPS1 / QSound	| 					| dinosyn.bin| src/burn/drv/capcom/d_cps1.cpp|
| dinopic	|  	| Cadillacs and Dinosaurs (bootleg set 1 (with PIC16c57), 930201 etc)| dino	| 1993	| Capcom	| CPS1		| No sound				| 5.bin| src/burn/drv/capcom/d_cps1.cpp|
| dinopic2	|  	| Cadillacs and Dinosaurs (bootleg set 2 (with PIC16c57), 930201 etc)| dino	| 1993	| Capcom	| CPS1		| No sound				| 27c4000-m12481.bin| src/burn/drv/capcom/d_cps1.cpp|
| dinopic3	|  	| Cadillacs and Dinosaurs (bootleg set 3 (with PIC16c57), 930201 etc)| dino	| 1993	| Capcom	| CPS1		| No sound				| tk1-305_27c800.bin| src/burn/drv/capcom/d_cps1.cpp|
| dinoh		|  	| Cadillacs and Dinosaurs (bootleg set 3, 930223 Asia TW)| dino		| 1993	| bootleg	| CPS1 / QSound	| 					| cda_23h.rom| src/burn/drv/capcom/d_cps1.cpp|
| dinopic4	|  	| Cadillacs and Dinosaurs (bootleg set 4 (with PIC16c57), 930201 etc)| dino	| 1993	| Capcom	| CPS1		| No sound				| 27c4000-m15377-a-5.bin| src/burn/drv/capcom/d_cps1.cpp|
| dinopic5	|  	| Cadillacs and Dinosaurs (bootleg set 5 (with PIC16c57), 930223 Asia TW)| dino| 1993	| Capcom	| CPS1		| 					| cad_28.bin| src/burn/drv/capcom/d_cps1.cpp|
| dinohc	|  	| Cadillacs and Dinosaurs (Chinese bootleg, 930223 Asia TW)| dino		| 1993	| bootleg	| CPS1		| 					| 23| src/burn/drv/capcom/d_cps1.cpp|
| dinods	|  	| Cadillacs and Dinosaurs (God of War Edition, Hack)	| dino		| 2021-04-08| Hack		| CPS1 / QSound	| 					| dinods.bin| src/burn/drv/capcom/d_cps1.cpp|
